title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
Wavin' Flag,reggae fusion,2009.0,76.0,70.0,63.0,-6.0,24.0,72.0,221.0,13.0,7.0,63.0,2010.0
Live Like We're Dying,idol,2009.0,92.0,89.0,59.0,-3.0,34.0,94.0,213.0,3.0,4.0,57.0,2010.0
Bad Romance,art pop,2009.0,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,86.0,2010.0
Telephone,art pop,2009.0,122.0,84.0,82.0,-6.0,11.0,72.0,221.0,1.0,4.0,75.0,2010.0
Alejandro,art pop,2009.0,99.0,79.0,62.0,-7.0,38.0,36.0,274.0,0.0,5.0,72.0,2010.0
Right Above It,hip hop,2010.0,76.0,84.0,38.0,-4.0,58.0,46.0,272.0,4.0,36.0,74.0,2010.0
My Chick Bad,atl hip hop,2010.0,85.0,72.0,62.0,-7.0,48.0,76.0,217.0,17.0,38.0,73.0,2010.0
How Low,atl hip hop,2010.0,144.0,50.0,79.0,-7.0,22.0,42.0,202.0,0.0,5.0,68.0,2010.0
Misery,pop,2010.0,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,70.0,2010.0
When We Collide,talent show,2011.0,82.0,68.0,44.0,-6.0,31.0,45.0,226.0,2.0,3.0,52.0,2010.0
Cooler Than Me - Single Mix,dance pop,2010.0,130.0,82.0,77.0,-5.0,69.0,63.0,213.0,18.0,5.0,81.0,2010.0
Can't Be Tamed,dance pop,2010.0,117.0,91.0,63.0,-3.0,20.0,74.0,168.0,3.0,14.0,69.0,2010.0
Animal,modern alternative rock,2010.0,148.0,83.0,48.0,-6.0,37.0,74.0,212.0,0.0,4.0,76.0,2010.0
Fireflies,indietronica,2009.0,180.0,66.0,51.0,-7.0,12.0,47.0,228.0,3.0,4.0,84.0,2010.0
She Said,grime,2010.0,147.0,54.0,72.0,-6.0,16.0,83.0,211.0,30.0,14.0,39.0,2010.0
Only Girl (In The World),barbadian pop,2010.0,126.0,71.0,79.0,-4.0,6.0,64.0,235.0,11.0,4.0,82.0,2010.0
Rude Boy,barbadian pop,2009.0,174.0,75.0,56.0,-4.0,8.0,81.0,223.0,11.0,13.0,80.0,2010.0
What's My Name?,barbadian pop,2010.0,100.0,78.0,69.0,-3.0,8.0,56.0,263.0,18.0,7.0,75.0,2010.0
Man Down,barbadian pop,2010.0,156.0,91.0,48.0,-4.0,5.0,54.0,267.0,4.0,19.0,65.0,2010.0
Hard,barbadian pop,2009.0,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,60.0,2010.0
Dancing On My Own - Radio Edit,art pop,2010.0,117.0,93.0,57.0,-6.0,13.0,22.0,278.0,0.0,3.0,65.0,2010.0
King of Anything,acoustic pop,2010.0,119.0,76.0,68.0,-4.0,6.0,81.0,207.0,46.0,4.0,66.0,2010.0
This Ain't a Love Song,dance pop,2017.0,177.0,91.0,46.0,-4.0,38.0,55.0,211.0,0.0,5.0,58.0,2010.0
Eenie Meenie,dance pop,2020.0,121.0,64.0,73.0,-3.0,10.0,84.0,202.0,3.0,3.0,72.0,2010.0
Riverside,dutch house,2009.0,126.0,98.0,80.0,-2.0,13.0,29.0,321.0,0.0,5.0,42.0,2010.0
Alors on danse - Radio Edit,belgian pop,2010.0,120.0,59.0,79.0,-9.0,7.0,71.0,206.0,10.0,8.0,83.0,2010.0
Stuck Like Glue,contemporary country,2010.0,84.0,80.0,70.0,-5.0,5.0,84.0,248.0,33.0,6.0,73.0,2010.0
One - Radio Edit,dance pop,2010.0,125.0,78.0,80.0,-7.0,15.0,62.0,170.0,1.0,4.0,62.0,2010.0
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,dance pop,2010.0,125.0,93.0,74.0,-6.0,40.0,66.0,206.0,0.0,7.0,52.0,2010.0
Dynamite,dance pop,2010.0,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,85.0,2010.0
Break Your Heart,dance pop,2010.0,122.0,93.0,61.0,-4.0,9.0,57.0,202.0,3.0,3.0,79.0,2010.0
The Flood,boy band,2010.0,101.0,83.0,51.0,-6.0,12.0,14.0,289.0,4.0,4.0,63.0,2010.0
Back To December,pop,2010.0,142.0,67.0,53.0,-5.0,33.0,29.0,293.0,12.0,3.0,71.0,2010.0
